Cause,Effect
V0,V33
V0,V65
V1,V47
V2,V10
V2,V23
V2,V31
V2,V46
V2,V58
V3,V51
V4,V70
V4,V82
V5,V85
V5,V99
V6,V14
V6,V18
V6,V52
V6,V60
V7,V3
V7,V39
V7,V96
V8,V5
V8,V19
V9,V87
V11,V55
V11,V95
V12,V69
V12,V93
V13,V61
V14,V20
V14,V76
V14,V84
V15,V4
V15,V25
V15,V28
V15,V85
V16,V42
V16,V67
V17,V5
V17,V23
V17,V26
V17,V95
V18,V94
V18,V96
V19,V82
V20,V4
V20,V86
V20,V95
V21,V34
V21,V68
V22,V57
V23,V20
V23,V46
V25,V28
V25,V53
V25,V72
V25,V83
V26,V45
V26,V48
V26,V83
V27,V8
V27,V33
V27,V73
V28,V32
V28,V37
V28,V42
V29,V7
V29,V20
V29,V49
V29,V83
V30,V34
V30,V43
V30,V58
V30,V62
V31,V27
V32,V38
V32,V77
V33,V98
V34,V4
V34,V15
V35,V18
V35,V47
V35,V55
V36,V52
V36,V68
V37,V5
V37,V61
V37,V69
V37,V94
V38,V19
V38,V43
V38,V65
V39,V8
V39,V42
V40,V72
V41,V93
V42,V9
V42,V65
V44,V8
V44,V56
V44,V85
V45,V10
V45,V23
V45,V28
V45,V96
V46,V49
V47,V93
V49,V3
V49,V28
V49,V64
V49,V94
V49,V98
V52,V54
V53,V4
V53,V8
V53,V84
V54,V0
V54,V6
V54,V7
V54,V39
V54,V51
V54,V88
V55,V9
V55,V46
V56,V40
V56,V95
V57,V9
V57,V15
V57,V52
V57,V94
V58,V63
V59,V34
V59,V82
V60,V27
V60,V84
V60,V91
V61,V15
V61,V57
V61,V95
V62,V2
V62,V70
V63,V80
V63,V92
V64,V65
V64,V86
V65,V15
V65,V80
V66,V73
V66,V82
V66,V89
V67,V19
V67,V25
V67,V34
V67,V53
V67,V77
V67,V87
V68,V10
V68,V55
V69,V53
V70,V6
V70,V23
V70,V42
V70,V87
V71,V46
V71,V83
V73,V68
V73,V87
V73,V96
V74,V6
V74,V41
V74,V76
V76,V20
V78,V25
V78,V27
V78,V85
V79,V10
V79,V28
V79,V51
V79,V80
V79,V86
V80,V67
V82,V19
V82,V60
V82,V62
V82,V85
V83,V63
V83,V82
V83,V99
V84,V26
V84,V40
V85,V25
V85,V63
V86,V7
V86,V10
V86,V18
V86,V33
V86,V38
V86,V54
V86,V67
V87,V1
V87,V18
V88,V5
V88,V27
V88,V75
V88,V78
V88,V86
V88,V87
V89,V47
V89,V75
V89,V96
V90,V6
V90,V37
V90,V53
V90,V63
V91,V7
V91,V41
V93,V55
V93,V64
V93,V72
V93,V94
V94,V15
V94,V58
V94,V68
V94,V89
V95,V60
V96,V32
V96,V68
V96,V99
V97,V40
V97,V83
V98,V63
V98,V72
V98,V80
V98,V86
V99,V1
V99,V32
V99,V56
V99,V91
